task_id,condition,model_setup,success,verification,quality_score,time_seconds,estimated_cost_usd,failure_mode,notes,artifact_path
T1,A_single_model,gpt-5.4-mini,,,,,,,,
T1,B_omo_single_model,gpt-5.4-mini_all_agents,,,,,,,,
T1,C_omo_multi_model,gpt-5.4-mini_plus_claude-sonnet-4-6,,,,,,,,
T2,A_single_model,gpt-5.4-mini,,,,,,,,
T2,B_omo_single_model,gpt-5.4-mini_all_agents,,,,,,,,
T2,C_omo_multi_model,gpt-5.4-mini_plus_claude-sonnet-4-6,,,,,,,,
T3,A_single_model,gpt-5.4-mini,,,,,,,,
T3,B_omo_single_model,gpt-5.4-mini_all_agents,,,,,,,,
T3,C_omo_multi_model,gpt-5.4-mini_plus_claude-sonnet-4-6,,,,,,,,
T4,A_single_model,gpt-5.4-mini,,,,,,,,
T4,B_omo_single_model,gpt-5.4-mini_all_agents,,,,,,,,
T4,C_omo_multi_model,gpt-5.4-mini_plus_claude-sonnet-4-6,,,,,,,,
T5,A_single_model,gpt-5.4-mini,,,,,,,,
T5,B_omo_single_model,gpt-5.4-mini_all_agents,,,,,,,,
T5,C_omo_multi_model,gpt-5.4-mini_plus_claude-sonnet-4-6,,,,,,,,
T6,A_single_model,gpt-5.4-mini,,,,,,,,
T6,B_omo_single_model,gpt-5.4-mini_all_agents,,,,,,,,
T6,C_omo_multi_model,gpt-5.4-mini_plus_claude-sonnet-4-6,,,,,,,,

